NDID,Product_Name,grams_Pro_per_100g,grams_Fat_per_100g,grams_Cho_per_100g,Category_1,Category_2,Category_3,Serving_Size,Store,Package_Amount,Price_per_Package
ND00363,Organic Valley Cream Cheese- Cultured (container),6.666666667,33.33333333,3.333333333,Dairy_and_Egg,Cheese,Cream_Cheese,2 tbsp,PB,227,3.99
ND01918,Galbani Mozzarella Cheese - Whole Milk,20,23.33333333,3.333333333,Dairy_and_Egg,Cheese,Mozzarella,1 inch cube ,PB,453,4.69
ND00375,"Galbani Mozzarella Cheese- Part Skim, 100%  Natural (block)",23.33333333,20,3.333333333,Dairy_and_Egg,Cheese,Mozzarella,1 in. cube (1oz),PB,226,2.69
ND00464,Breakstone's All Natural Sour Cream (Triple Churned),3.333333333,20,3.333333333,Dairy_and_Egg,Sour_Cream,Null,2 tbsp,PB,227,1.39
ND01129,Armour Pepperoni,20,46.66666667,3.333333333,Meats,Luncheon_Meats,Pepperoni,16 slices,PB,142,3.49
ND01326,Ken's Steak House Dressing - Creamy Caesar ,3.333333333,63.33333333,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Caesar,2 Tbsp,SW,473,2.36
ND01325,Ken's Steak House Dressing - Creamy Caesar  with Roasted Garlic,3.333333333,56.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Caesar,2 Tbsp,SW,267,1.48
ND01327,Ken's Steak House Dressing - Greek,0,36.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Greek,2 Tbsp,SW,473,2.36
ND01345,Ken's Steak House Dressing - Buttermilk Ranch,0,66.66666667,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,473,3.53
ND01356,White House White Distilled Vinegar,0,0,3.333333333,Sauces_Soups_Condiments_Dressing,Dressings,White,1 tbsp,PB,473,0.99
ND01379,Kikkoman Naturally Brewed Soy Sauce,13.33333333,0,3.333333333,Sauces_Soups_Condiments_Dressing,Sauces,Soy,1 Tbsp,PB,148,2.45
ND01652,Green Giant Cut Green Beans (canned),0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.39
ND01653,Green Giant Kitchen Sliced Green Beans (canned),0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.39
ND01654,Publix Original Cut Green Beans (canned),0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,PB,411,1.25
ND01655,Winn Dixie Cut Green Beans (canned),0.833333333,0,3.333333333,Vegetables,Green,Green_Beans,0.5 cup,WD,411,0.79
ND01797,"Squash, summer, all varieties, raw",1.21,0.18,3.35,Vegetables,Yellow,Squash,"113g=1 cup, sliced / 323g=1 large",PB,454,1.69
ND00462,Goya Coconut Milk (canned),3.389830508,15.25423729,3.389830508,Beverages,Milk_Substitutes,Coconut Milk,2 oz,SW,400,1.74
ND01755,"Radishes, raw",0.68,0.1,3.4,Vegetables,Red,Radishes,"116g=1 cup, slices / 9g=1 large,  (1"" to 1-0.25"" dia)",PB,128,0.99
ND00459,"Blue Diamond Almond Breeze Almond Milk - Original (unrefridgerated, box)",0.416666667,1.041666667,3.489583333,Beverages,Milk_Substitutes,Almond Milk,1 cup,SW,946,1.97
ND00998,Jimmy Dean Fully Cooked Turkey Sausage Crumbles (60% less fat),17.54385965,8.771929825,3.50877193,Meats,Bacon_and_Sausage,Prepared_Sausage,0.5 cup (57 g),PB,272,4.49
ND01102,Oscar Mayer Bun-Length Weiners,10.52631579,15.78947368,3.50877193,Meats,Luncheon_Meats,Hot_Dog,1 link,PB,454,3.49
ND01113,Publix Jumbo Beef Franks ,12.28070175,28.07017544,3.50877193,Meats,Luncheon_Meats,Hot_Dog,1 frank,PB,907,8.29
ND00108,Gerber Graduates lil' sticks Chicken Sticks with Canola Oil- packed in water (jar),12.67605634,8.450704225,3.521126761,Baby_Foods,Baby_Meats,Stage_3,"1 jar, drained",PB,71,1.59
ND00109,Gerber Graduates lil'sticks Turkey Sticks with Canola Oil - packed in water (jar),12.67605634,8.450704225,3.521126761,Baby_Foods,Baby_Meats,Stage_3,"1 jar, drained",PB ,71,1.59
ND01735,"Nasoya Organic Tofu-Cubed, super firm  ",12.94117647,5.882352941,3.529411765,Vegetables,Processed,Soy products,3 oz.,PB,227,2.99
ND01730,Nasoya Organic Tofu-Extra Firm,10.58823529,4.705882353,3.529411765,Vegetables,Processed,Soy products,3 oz.,PB,397,2.99
ND01385,RAO's Homemade Marinara Sauce ,0.884955752,6.194690265,3.539823009,Sauces_Soups_Condiments_Dressing,Sauces,Tomato,0.5 cup,PB,680,8.99
ND00323,Treasure Cave Blue Cheese-Crumbled,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Blue,0.25 Cup,PB,141,2.99
ND00324,Treasure Cave Blue Cheese-Wedge,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Blue,1 oz. ,PB,156,2.99
ND00335,Publix Mild Cheddar Cheese (block),25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Cheddar,1 oz,PB,454,6.29
ND00334,Publix Sharp Cheddar Cheese (shredded),25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Cheddar,0.25 cup,PB,227,3.89
ND00348,Publix Colby-Longhorn Style Cheese (block),25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Colby-Jack,1 oz.,PB,454,6.29
ND00368,Athenos Feta Cheese- Crumbled (Traditional),17.85714286,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Feta,0.25 cup,PB,113,3.19
ND00371,Boar's Head Hickory Smoked Gruyere Cheese,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Gruyere,1 oz.,PB,226,6.49
ND00372,Amish Country Cream Havarti (mild & creamy) Cheese,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Havarti,1 oz.,PB,227,3
ND00376,"Kraft Mozzarella Cheese- Low Moisture, Part Skim (shredded)",25,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,0.25 cup,PB,226,4.29
ND00377,Polly-O Mozzarella - Whole Milk (block),21.42857143,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz (28 g),PB,453,4.99
ND00374,Polly-O Part-Skim Mozzarella Cheese (block),21.42857143,17.85714286,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz,PB,453,4.99
ND00378,"Publix Mozzarella Cheese- Low Moisture, Part Skim (block)",28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 oz,PB,227,3.69
ND00379,"Publix Mozzarella Cheese- Low Moisture, Part Skim (shredded)",28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,0.25 cup,PB,227,3.89
ND00380,"Publix Mozzarella Cheese- String , Low Moisture, Part Skim ",25,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 stick,PB,340,3.5
ND00382,"Sargento Snacks Mozzarella Cheese-String - Natural Low Moisture, Part Skim ",28.57142857,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Mozzarella,1 piece,PB,340,4.99
ND01904,Dutchmark Smoked Gouda Cheese,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Other,1 oz,SW,811.930342,10.35
ND00397,Frigo Cheeseheads String Cheese - Original,21.42857143,21.42857143,3.571428571,Dairy_and_Egg,Cheese,Other,1 piece,SW,340,2.98
ND00399,Kraft Four Cheese Mexican,21.42857143,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Other,0.25 cup,PB,226,4.29
ND00398,Publix Six Cheese Italian Fancy Shredded Cheese,25,25,3.571428571,Dairy_and_Egg,Cheese,Other,0.25 cup,PB,227,3.89
ND00402,"Kraft Shaved Parmesan Cheese, Natural Cheese (refrigerated) (tub)",32.14285714,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Parmesan,0.25 cup,PB,141,4.29
ND00403,"Kraft Shredded Parmesan Cheese, Natural Cheese",32.14285714,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Parmesan,0.25 cup,PB,198,5.29
ND00416,Amish Country Amish Swiss Cheese,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,PB,227,3
ND00417,Boar's Head Baby Swiss Cheese,25,32.14285714,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,I,453,10.79
ND00411,Publix Swiss Cheese (block),28.57142857,28.57142857,3.571428571,Dairy_and_Egg,Cheese,Swiss,1 oz.,PB,227,3.69
ND00746,Beneprotein Instant Protein Powder,85.71428571,0,3.571428571,Formulas,Protein,Null,1 unpacked level scoop or 7g packet,I,1362,79.99
ND01134,Oscar Mayer Beef Cotto Salami,14.28571429,16.07142857,3.571428571,Meats,Luncheon_Meats,Salami,1 slice,PB,227,4.99
ND01135,Oscar Mayer Cotto Salami,14.28571429,14.28571429,3.571428571,Meats,Luncheon_Meats,Salami,1 slice,PB,454,2.49
ND01145,SPAM 25% Less Sodium,12.5,28.57142857,3.571428571,Meats,Luncheon_Meats,Spam,2 oz,SW,340,2.5
ND01144,SPAM Classic,12.5,28.57142857,3.571428571,Meats,Luncheon_Meats,Spam,2 oz,WD,198,2.29
ND01150,Oscar Mayer Delifresh Oven Roasted Turkey Breast,16.07142857,1.785714286,3.571428571,Meats,Luncheon_Meats,Turkey,2 oz,PB,454,6.99
ND01301,Publix Real Mayonnaise,0,85.71428571,3.571428571,Sauces_Soups_Condiments_Dressing,Condiments,Mayonnaise,1 Tbsp,PB,444,2.99
ND01351,Marie's Dressing - Creamy Ranch ,3.571428571,67.85714286,3.571428571,Sauces_Soups_Condiments_Dressing,Dressings,Ranch,2 Tbsp,PB,354,3.69
ND01682,Green Giant Steamers Chopped Spinach (frozen),2.380952381,0,3.571428571,Vegetables,Green,Spinach,3/4 cup frozen,SW,255,1.88
ND01716,Vlasic Kosher Dill Gherkins ,0,0,3.571428571,Vegetables,Processed,Pickles,3 pickles (1 oz),PB,473,2.99
ND01717,Vlasic Kosher Dill Spears ,0,0,3.571428571,Vegetables,Processed,Pickles,about 1 spear (1 oz),PB,473,2.29
ND01718,Vlasic Stackers Kosher Dill,0,0,3.571428571,Vegetables,Processed,Pickles,about 1 0.5 slices (1oz),PB,473,2.99
ND01796,Publix Sliced Yellow Squash (frozen),1.204819277,0,3.614457831,Vegetables,Yellow,Squash,.66 cup,PB ,425,1.99
ND00410,Great Value Ricotta Cheese- Original,8.064516129,14.51612903,3.629032258,Dairy_and_Egg,Cheese,Ricotta,0.25 cup,WM,425,1.94
ND01645,"Cucumber, with peel, raw",0.65,0.11,3.63,Vegetables,Green,Cucumber,0.5 cup slices = 52g,PB,340,0.75
ND01689,"Spinach, raw",2.86,0.39,3.63,Vegetables,Green,Spinach,30g=1 cup / 340g=1 bunch,PB,254,2
ND01007,"Johnsonville Original Recipe Breakfast Sausage Links, Raw (links) ",18.18181818,25.45454545,3.636363636,Meats,Bacon_and_Sausage,Prepared_Sausage,3 skillet-cooked links,PB,340,3.99
ND01475,"Coriander (cilantro) leaves, raw",2.13,0.52,3.67,Spices_and_Herbs,Seasonings,Null,9 sprigs=20 g,PB,8.5,1.49
ND01027,"Jimmy Dean Pork Sausage Patties- Original, Fully Cooked (8 patties)",16.17647059,35.29411765,3.676470588,Meats,Bacon_and_Sausage,Prepared_Sausage,2 patties,SW,272,3.5
